INFO 2023-10-25 13:15:13,622 autoreload Watching for file changes with StatReloader
INFO 2023-10-25 13:15:19,552 autoreload Watching for file changes with StatReloader
INFO 2023-10-25 13:15:31,123 basehttp "GET /weather/ HTTP/1.1" 200 9797
INFO 2023-10-25 13:15:33,219 basehttp "GET /news HTTP/1.1" 301 0
INFO 2023-10-25 13:15:33,230 basehttp "GET /news/ HTTP/1.1" 200 20396
INFO 2023-10-25 13:15:38,974 basehttp "GET /news/ HTTP/1.1" 200 20396
WARNING 2023-10-25 13:15:39,391 log Not Found: /favicon.ico
WARNING 2023-10-25 13:15:39,392 basehttp "GET /favicon.ico HTTP/1.1" 404 179
INFO 2023-10-30 16:55:52,558 autoreload Watching for file changes with StatReloader
INFO 2023-10-30 17:01:52,002 basehttp "GET /weather/ HTTP/1.1" 302 0
WARNING 2023-10-30 17:01:52,032 log Not Found: /accounts/login/
WARNING 2023-10-30 17:01:52,034 basehttp "GET /accounts/login/?next=/weather/ HTTP/1.1" 404 179
INFO 2023-10-30 17:02:06,079 autoreload Watching for file changes with StatReloader
INFO 2023-10-30 17:02:08,998 basehttp "GET / HTTP/1.1" 200 3018
INFO 2023-10-30 17:08:19,294 autoreload Watching for file changes with StatReloader
INFO 2023-10-30 17:08:21,838 basehttp "GET / HTTP/1.1" 200 3018
WARNING 2023-10-30 17:08:23,280 log Not Found: /favicon.ico
WARNING 2023-10-30 17:08:23,281 basehttp "GET /favicon.ico HTTP/1.1" 404 179
INFO 2023-10-30 17:08:27,790 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2023-10-30 17:08:27,949 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
WARNING 2023-10-30 17:08:27,969 log Not Found: /static/admin/css/base.css
WARNING 2023-10-30 17:08:27,971 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2023-10-30 17:08:27,975 log Not Found: /static/admin/css/dark_mode.css
WARNING 2023-10-30 17:08:27,976 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2023-10-30 17:08:27,980 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2023-10-30 17:08:27,982 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2023-10-30 17:08:27,984 log Not Found: /static/admin/css/login.css
WARNING 2023-10-30 17:08:27,985 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2023-10-30 17:08:27,986 basehttp "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2023-10-30 17:08:27,987 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2023-10-30 17:08:27,989 log Not Found: /static/admin/css/responsive.css
WARNING 2023-10-30 17:08:27,991 log Not Found: /static/admin/js/theme.js
WARNING 2023-10-30 17:08:27,992 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2023-10-30 17:08:27,992 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
INFO 2023-10-30 17:08:41,007 basehttp "GET /admin/l HTTP/1.1" 302 0
INFO 2023-10-30 17:08:41,025 basehttp "GET /admin/login/?next=/admin/l HTTP/1.1" 200 4183
WARNING 2023-10-30 17:08:41,046 log Not Found: /static/admin/css/base.css
WARNING 2023-10-30 17:08:41,047 log Not Found: /static/admin/css/dark_mode.css
WARNING 2023-10-30 17:08:41,050 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2023-10-30 17:08:41,049 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2023-10-30 17:08:41,048 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2023-10-30 17:08:41,051 log Not Found: /static/admin/css/login.css
WARNING 2023-10-30 17:08:41,053 log Not Found: /static/admin/css/responsive.css
WARNING 2023-10-30 17:08:41,054 log Not Found: /static/admin/js/theme.js
